id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
121,2020-03-22,76468.99397172299,273216.0658309732
121,2020-03-23,81342.43636512812,332884.7016787771
121,2020-03-24,87723.54520428188,409460.2387698564
121,2020-03-25,96257.33385169155,509529.93314582296
121,2020-03-26,104193.12251627486,620860.0523944544
121,2020-03-27,112993.32473295303,750927.9651068219
121,2020-03-28,121510.96301288088,891744.9906914558
121,2020-03-29,133792.64120224002,1067233.248191997
121,2020-03-30,141789.09535369644,1221402.9764886901
121,2020-03-31,152101.25357244856,1393173.1216955232
121,2020-04-01,165771.39726686178,1582958.5518724725
121,2020-04-02,178715.9649957558,1759508.358414235
121,2020-04-03,193116.37248427112,1930976.947825516
121,2020-04-04,207228.6292104609,2085409.1543849288
121,2020-04-05,227232.27599719987,2244722.8103278773
121,2020-04-06,240773.3638020938,2362445.3417824074
122,2020-02-26,310,310
122,2020-02-27,540.8908563784753,554.0145679172787
122,2020-02-28,780.1104618726648,815.8961719803406
122,2020-02-29,1139.6502334548009,1211.525232063543
122,2020-03-01,1494.513304331202,1773.8537599512051
122,2020-03-02,1883.4458430385748,2480.304629023903
122,2020-03-03,2432.4615953646353,3532.536319021293
122,2020-03-04,3173.61082804807,5051.591970158579
122,2020-03-05,4109.0028593300385,7233.21891517912
122,2020-03-06,5302.362065699606,10276.987420310086
122,2020-03-07,6786.362225204753,14417.899583066364
122,2020-03-08,8491.092046390462,20587.207349781183
122,2020-03-09,10056.108456386592,27811.31996968417
122,2020-03-10,12140.438379888701,38126.264527583
122,2020-03-11,14250.199831012307,52172.69827398118
122,2020-03-12,16881.52969370599,71850.40243192992
122,2020-03-13,19829.869597383225,97761.03605258331
122,2020-03-14,23076.15902196878,131010.0184337627
122,2020-03-15,27465.249089563124,177392.63001606372
122,2020-03-16,31227.943737245674,229037.1626432522
122,2020-03-17,36113.2690180267,297839.5837279776
122,2020-03-18,41901.96544225064,385298.81013025536
122,2020-03-19,49271.76449329271,498756.06874921225
122,2020-03-20,57710.522130894795,635877.4753131238
122,2020-03-21,67176.7393472863,794787.1073059207
122,2020-03-22,73856.0548290036,987632.2077790876
122,2020-03-23,78048.32651168872,1172294.6503901898
122,2020-03-24,83639.06383792311,1375601.6040726171
122,2020-03-25,89843.29309215929,1582125.2878128733
122,2020-03-26,97388.12721537432,1790075.8139045315
122,2020-03-27,105118.44693459422,1983637.0100371165
122,2020-03-28,112722.78406336332,2158828.5341778086
122,2020-03-29,122541.43980849811,2327960.5134084597
122,2020-03-30,129069.69720601199,2461648.268437233
122,2020-03-31,137554.28536316263,2586996.2121464154
122,2020-04-01,146953.5901517743,2697046.4815336154
122,2020-04-02,158312.13432977555,2793640.252271694
122,2020-04-03,169995.0040966834,2872338.870758985
122,2020-04-04,181546.76398229014,2935008.684631128
122,2020-04-05,196257.0818850973,2988359.3402313082
122,2020-04-06,206315.5499224289,3026221.44355673
123,2020-02-26,310,310
123,2020-02-27,521.2190040624959,536.9710082992617
123,2020-02-28,730.283029761193,772.5524627679549
123,2020-02-29,1056.2538426599413,1141.2056895110136
123,2020-03-01,1363.5066212256286,1634.113192495718
