id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
<<<<<<< HEAD
376,2020-03-19,10987.89066461252,11580.290937774918
376,2020-03-20,14218.275122621453,15446.073274262875
376,2020-03-21,17999.51622753926,20202.15693899787
376,2020-03-22,22307.528330123136,26128.029081793502
376,2020-03-23,27537.43109669139,34152.60635847094
376,2020-03-24,33886.79673831834,45065.38405957319
376,2020-03-25,41867.86689811772,60000.593760774296
376,2020-03-26,52012.02072667935,80919.88169116135
376,2020-03-27,64312.48370787597,108879.70505032392
376,2020-03-28,77685.67414432373,143259.38377068724
376,2020-03-29,93004.1731810943,186745.94435319706
376,2020-03-30,111310.01553961047,245953.9228931014
376,2020-03-31,133786.7784817408,326321.42432327726
376,2020-04-01,161481.0960157489,436768.82570048474
376,2020-04-02,196699.20040854788,590949.2827050906
376,2020-04-03,234608.04403761707,795092.8596049062
376,2020-04-04,272843.77942112007,1042896.410448947
376,2020-04-05,313988.85791602253,1349602.2791792518
376,2020-04-06,363604.8547017284,1752350.9492111763
377,2020-03-03,61,61
377,2020-03-04,99.57050879781707,100.24792689693628
377,2020-03-05,145.9189044764049,146.16916683879737
377,2020-03-06,210.11207874199167,209.55472103249502
377,2020-03-07,298.95479702707394,297.13347566328486
377,2020-03-08,450.93235147030373,447.5798027415022
377,2020-03-09,711.2106253753982,706.8737853734419
377,2020-03-10,1036.4229784363677,1033.3950713728018
377,2020-03-11,1532.2889460103788,1537.441995914602
377,2020-03-12,2080.4441430405036,2278.0456460361065
377,2020-03-13,2754.0337945748975,3304.810765147923
377,2020-03-14,3753.1056557607362,4767.594133135818
377,2020-03-15,4747.735185643388,6498.788726205238
377,2020-03-16,6143.573186591654,9215.637262060285
377,2020-03-17,7990.941294044901,13174.993712656606
377,2020-03-18,10632.66390838403,19232.127265326384
377,2020-03-19,13900.725901918919,28116.191274016
377,2020-03-20,18037.78804818936,40948.82777834609
377,2020-03-21,23335.338690324817,59704.021381017265
377,2020-03-22,28166.711159358863,83319.61877116526
377,2020-03-23,34381.914868364365,119983.27593906622
377,2020-03-24,42040.83836494433,175263.42477654846
377,2020-03-25,51963.433569987086,259955.52910715764
377,2020-03-26,63890.10307651428,383055.52738441224
377,2020-03-27,78156.73251613707,557095.9914793277
377,2020-03-28,94918.35645173796,795737.3141981736
377,2020-03-29,110699.57634292833,1072214.8365347204
377,2020-03-30,131297.6680109838,1447871.2879636283
377,2020-03-31,156927.4017834686,1921489.2827184193
377,2020-04-01,189756.92136899993,2512678.6626956733
377,2020-04-02,228682.73125395225,3206037.980751185
377,2020-04-03,270032.5241407461,4013408.3354415754
377,2020-04-04,316960.9238760679,4957200.142420034
377,2020-04-05,357751.22972193424,5916867.707813423
377,2020-04-06,412671.0946097011,7111269.189304958
378,2020-03-03,61,61
378,2020-03-04,101.6325010354501,102.4918333655814
378,2020-03-05,149.06646372312062,150.0251849143272
378,2020-03-06,217.8040583396809,218.9091961427327
378,2020-03-07,315.93631636432127,317.49127964730286
378,2020-03-08,489.8769699701805,492.7944232049191
378,2020-03-09,783.9841937368038,791.4724973043905
378,2020-03-10,1163.9555335670702,1183.0395874812746
378,2020-03-11,1806.386919667954,1852.5870536024481
378,2020-03-12,2482.8282997666356,2825.6858436672246
378,2020-03-13,3293.569411287245,4161.923095680504
378,2020-03-14,4560.423350199469,6288.756807115181
378,2020-03-15,5985.301129771382,9177.301444237555
378,2020-03-16,7926.5499409738495,13768.38045078092
378,2020-03-17,10498.721751022416,20836.961738900518
378,2020-03-18,14602.816675958127,33163.51239861156
378,2020-03-19,19614.816425158886,51717.224141161765
378,2020-03-20,26407.843002170768,81357.10414490516
378,2020-03-21,35543.5169389346,128200.86305254904
378,2020-03-22,44402.44763770085,195421.93029495713
378,2020-03-23,55639.63582538867,300646.6055233885
378,2020-03-24,69573.76639673823,458302.6652467568
378,2020-03-25,90028.77832591605,705908.8808863884
378,2020-03-26,113320.54977397902,1019944.5405895984
378,2020-03-27,143112.28216586157,1409119.0838045964
378,2020-03-28,179825.16999408137,1846286.1875409477
378,2020-03-29,219335.51321449535,2279047.1982724806
378,2020-03-30,270000.909272167,2756446.5644512465
378,2020-03-31,332449.9472848352,3290584.6204290227
378,2020-04-01,420036.25229331857,3990417.947690389
378,2020-04-02,515835.7986227896,4793093.48830394
378,2020-04-03,631051.0638829599,5792439.033939328
378,2020-04-04,765234.2271099538,6993122.957385977
378,2020-04-05,899768.1175913886,8273308.261467767
378,2020-04-06,1060900.5334420837,9782690.665598826
379,2020-03-03,61,61
379,2020-03-04,94.24248584209272,95.74224790066653
379,2020-03-05,135.02634058821917,136.4304804789517
379,2020-03-06,187.16130445511803,187.71875485771386
379,2020-03-07,250.7465803126468,249.23298353031768
379,2020-03-08,372.77205846642653,367.4559348284032
379,2020-03-09,582.7210624279703,571.0066699657699
379,2020-03-10,827.811153066206,807.5454538717471
379,2020-03-11,1191.215459659683,1156.2668587294852
379,2020-03-12,1666.548084105759,1693.4419059743334
379,2020-03-13,2228.903913348718,2391.871642425359
379,2020-03-14,3021.261236213733,3262.3241727748828
379,2020-03-15,3863.497530897503,4252.770854482289
379,2020-03-16,5075.718616159474,5742.670090868197
379,2020-03-17,6700.482230400854,7822.490858718663
379,2020-03-18,8979.856763407666,10783.811092492082
379,2020-03-19,12096.948810450695,15258.566246119113
379,2020-03-20,15937.199203305934,21107.314741577833
379,2020-03-21,20383.172409865023,28605.231631291033
379,2020-03-22,24826.200896008548,37770.67509055336
379,2020-03-23,30633.97832137208,51326.01977928332
379,2020-03-24,37862.1124288463,70673.00314447902
379,2020-03-25,47219.463922728566,98867.68554131275
379,2020-03-26,60043.21235124938,142094.51304870608
379,2020-03-27,74895.95874320455,200593.88637105678
379,2020-03-28,91088.37692837854,276013.8362025312
379,2020-03-29,108100.66666285967,369445.21156655974
379,2020-03-30,130410.5167081833,505717.5543868103
379,2020-03-31,159064.94335254896,697186.0148667857
379,2020-04-01,194799.74715124618,960485.6302361173
379,2020-04-02,243318.40929818185,1331529.3556669499
379,2020-04-03,296074.2098483176,1778597.188079882
379,2020-04-04,349738.40590840427,2278070.0728856833
379,2020-04-05,403060.02940182615,2806360.2320988043
379,2020-04-06,473722.86356935545,3456415.823263016
380,2020-03-03,61,61
380,2020-03-04,93.82653310907963,95.22132721261181
380,2020-03-05,133.83144438347404,134.62166856554828
380,2020-03-06,179.92610665375418,178.90866690776784
380,2020-03-07,241.63903131042892,236.95415162170602
380,2020-03-08,360.2514845336887,349.37101167309254
380,2020-03-09,551.6068273658432,531.1003933905716
380,2020-03-10,769.5772064348537,735.53267815841
380,2020-03-11,1110.8015329106163,1052.4800492316717
380,2020-03-12,1576.6357852475924,1536.0618749946827
380,2020-03-13,2088.888955535223,2114.257997837393
380,2020-03-14,2883.801823208201,2878.5805380394104
380,2020-03-15,3725.9312742810384,3716.2805671098663
380,2020-03-16,4839.6766526272395,4875.218176042384
380,2020-03-17,6347.396051087717,6464.776458098935
380,2020-03-18,8625.088962817152,8836.320540036928
380,2020-03-19,11746.215465498908,12362.729244069355
380,2020-03-20,15260.09560041635,16480.69734373646
380,2020-03-21,19943.036894574965,22132.362761689885
380,2020-03-22,24721.836836072078,28801.719696967277
380,2020-03-23,30311.640940231264,37584.10426745625
380,2020-03-24,37568.48535333621,50319.63514265139
380,2020-03-25,47661.429655890766,69440.63509055066
380,2020-03-26,61618.15733309399,98259.26558027227
380,2020-03-27,76319.2584950014,133311.91355365867
380,2020-03-28,94707.85030507532,181545.60695011393
380,2020-03-29,114231.17727667504,239712.20809481406
380,2020-03-30,136357.40192743787,316732.71032408543
380,2020-03-31,165925.8761693454,427212.1816889298
380,2020-04-01,206439.0778868541,591471.2370402878
380,2020-04-02,261889.2642820406,831886.4651267168
380,2020-04-03,311891.96637310623,1113405.0076954144
380,2020-04-04,370797.0647910898,1478883.0962245574
380,2020-04-05,427335.34359558293,1888349.9875699051
380,2020-04-06,491580.8391701253,2381564.8280608174
381,2020-03-03,61,61
381,2020-03-04,99.90066940250813,101.30384130402673
381,2020-03-05,142.3029788451869,146.12341985294944
381,2020-03-06,201.00804297587518,208.97914302937502
381,2020-03-07,281.58023279859367,296.4549226350053
381,2020-03-08,426.2663328971018,451.4941309397486
381,2020-03-09,673.9592576306485,716.9496558683929
381,2020-03-10,976.4806750742416,1050.2525545472179
381,2020-03-11,1448.6910764122213,1578.9968376188758
381,2020-03-12,1996.6480869065715,2318.8102485303953
381,2020-03-13,2687.1490750027415,3342.1303582583696
381,2020-03-14,3638.202089102063,4823.242817592888
381,2020-03-15,4633.040255362196,6650.329973876828
381,2020-03-16,6019.444491574444,9438.280139991974
381,2020-03-17,7827.598142085415,13501.782433771046
381,2020-03-18,10450.47697381746,19865.37338391431
381,2020-03-19,13446.614242056266,28706.350748765115
381,2020-03-20,17245.91399464565,41553.22285473015
381,2020-03-21,22095.82303576291,60394.40509294191
381,2020-03-22,26662.404507351825,84956.13294973421
381,2020-03-23,32490.199409422232,122612.77810235742
381,2020-03-24,39643.25938507816,178701.5503027203
381,2020-03-25,49214.287707493226,266365.51580626913
381,2020-03-26,59765.89360897085,387241.2437830398
381,2020-03-27,72658.81672087601,560082.0764124366
381,2020-03-28,88021.63965400589,798570.9296465399
381,2020-03-29,103402.66798611786,1085384.5194813875
381,2020-03-30,123341.64915492905,1472414.1887726046
381,2020-03-31,147779.4042570878,1956758.9909712311
381,2020-04-01,179718.1151716128,2572720.6394058755
381,2020-04-02,214091.95422400942,3251180.04682837
381,2020-04-03,254110.40764523813,4037253.3776093326
381,2020-04-04,300370.8137357565,4939296.178719901
381,2020-04-05,344647.16766985675,5869396.812051506
381,2020-04-06,402417.29048692866,7002871.872851219
382,2020-03-03,61,61
382,2020-03-04,94.9509340762396,95.52853928856305
382,2020-03-05,132.73447374672403,132.72281561715354
382,2020-03-06,186.43549727651546,185.40379928166655
382,2020-03-07,250.64367067459557,248.18422382679768
382,2020-03-08,371.2402435824904,367.2056030656176
382,2020-03-09,582.6767499724817,577.4820205206975
382,2020-03-10,826.343744009685,821.0774266161814
382,2020-03-11,1203.7811695362807,1198.4997235029166
382,2020-03-12,1679.8974760259596,1740.7712533987708
382,2020-03-13,2292.082404926492,2470.434929677704
382,2020-03-14,3146.5993795563063,3429.468773873621
382,2020-03-15,4065.3085753374266,4535.873186161649
382,2020-03-16,5452.841385777897,6298.752001620126
382,2020-03-17,7343.080666190077,8828.66438602412
382,2020-03-18,10187.63097080116,12735.277584044232
382,2020-03-19,13896.16737597285,18407.628385543852
382,2020-03-20,19158.422257696708,27030.391691022814
382,2020-03-21,25515.84885313133,38585.270466205235
382,2020-03-22,31507.722727348144,53361.57972906995
382,2020-03-23,39969.39373338913,77167.5209757392
382,2020-03-24,50411.53608778403,112132.4330502556
382,2020-03-25,64879.97425871819,167038.4154153218
382,2020-03-26,82846.22079295319,246963.23544257248
382,2020-03-27,107127.88058450288,367184.62202189345
382,2020-03-28,133753.03056788805,520783.4756385551
382,2020-03-29,161649.14239917914,703795.2613056803
382,2020-03-30,201888.78649037424,962378.6300285838
382,2020-03-31,252816.3324058426,1281542.8539210549
382,2020-04-01,320584.1412466972,1675125.3043908325
382,2020-04-02,403825.67234073917,2109731.7419293206
382,2020-04-03,509778.0948330715,2602014.3316307934
382,2020-04-04,619846.8067162957,3088262.099399558
382,2020-04-05,729000.6501645201,3561927.822974637
382,2020-04-06,881723.8461126137,4151967.978363338
383,2020-03-03,61,61
383,2020-03-04,97.22741670048887,98.43675545064326
383,2020-03-05,142.56885970206542,144.58842977997074
383,2020-03-06,206.97953914831726,210.18834744481376
383,2020-03-07,293.76882319422435,298.74873461188844
383,2020-03-08,452.3803848267389,460.09361689066196
383,2020-03-09,716.7160637201823,729.974930509289
383,2020-03-10,1049.38718953552,1075.2008892393899
383,2020-03-11,1542.554682942566,1591.718463102518
383,2020-03-12,2176.473979750515,2399.4499127780696
383,2020-03-13,2958.020225791139,3502.1652993687535
383,2020-03-14,4104.9350491059195,5111.8362226650315
383,2020-03-15,5408.939059996011,7217.431854534183
383,2020-03-16,7165.852792484441,10408.26930053139
383,2020-03-17,9568.525523956678,15213.615565804681
383,2020-03-18,12921.824736113402,22429.40552072153
383,2020-03-19,17433.95101617095,33855.530222829504
383,2020-03-20,23559.53096863508,51249.18181036807
383,2020-03-21,31403.9762160661,76765.93738804013
383,2020-03-22,39070.876804167005,112374.15549579456
383,2020-03-23,48739.14046183099,167043.7414311319
383,2020-03-24,60742.39991280407,250363.02122890175
383,2020-03-25,75665.01662102877,374100.5935317621
383,2020-03-26,95419.1717989682,561241.9167008853
383,2020-03-27,120239.08172631737,824703.3363666624
383,2020-03-28,149017.54853140813,1161096.5720821754
383,2020-03-29,180519.80656037622,1552205.8247960396
383,2020-03-30,219746.19613241203,2028389.6296121615
383,2020-03-31,269298.90102936566,2585844.854012686
383,2020-04-01,327500.49357981095,3222205.282518027
383,2020-04-02,402984.74109596,3984795.125519947
383,2020-04-03,489427.1076366347,4873297.499248926
383,2020-04-04,583269.3916295043,5861972.68003909
383,2020-04-05,678894.0769121315,6911788.822995962
383,2020-04-06,796097.5324887013,8137591.76220397
384,2020-03-03,61,61
384,2020-03-04,100.37600571973337,100.79034845954263
384,2020-03-05,142.93023677558816,143.4564221752228
384,2020-03-06,201.80057223481356,202.31528999219464
384,2020-03-07,279.2379422349864,279.46086847793254
384,2020-03-08,423.1843138098295,422.6166025181116
384,2020-03-09,671.4407838798722,669.4766533995232
384,2020-03-10,959.4477463804099,957.2999620351245
384,2020-03-11,1425.8480361266832,1426.7287602413298
384,2020-03-12,2001.2044843403694,2074.172022698524
384,2020-03-13,2766.99172867362,2998.5412464643355
384,2020-03-14,3802.825252785117,4228.001372484288
384,2020-03-15,4960.619940532127,5743.550734677044
384,2020-03-16,6436.826907060202,7906.871552802747
384,2020-03-17,8359.520481721776,10910.510827858661
384,2020-03-18,11307.943488051453,15698.560233243985
384,2020-03-19,14515.43318183699,22150.40483076249
384,2020-03-20,18589.470731554175,31200.723530956362
384,2020-03-21,23489.93749179651,43557.588315879846
384,2020-03-22,28734.01093119547,59446.86883702618
384,2020-03-23,35552.83890334148,83154.62516148784
384,2020-03-24,43210.777862223345,115502.82549423567
384,2020-03-25,54287.606768927646,167007.67092864422
384,2020-03-26,66692.25430823246,236404.24838778446
384,2020-03-27,81958.8604953366,335328.2694566593
384,2020-03-28,99331.1661053606,469194.12203785876
384,2020-03-29,118039.51529205407,641132.4992946357
384,2020-03-30,142082.30961930164,893271.953965099
384,2020-03-31,169286.5896150133,1227288.8691005711
384,2020-04-01,208232.71858747143,1737044.5080147444
384,2020-04-02,250052.09189289223,2381879.638121768
384,2020-04-03,297250.0879804688,3223315.954277052
384,2020-04-04,348402.52680592507,4238982.648801248
384,2020-04-05,400134.1357960596,5375439.632731374
384,2020-04-06,467812.07517224574,6783255.551863362
385,2020-03-03,61,61
385,2020-03-04,97.63715182399812,98.15061909648395
385,2020-03-05,143.29358967002167,141.59947745990127
385,2020-03-06,203.73909308824636,198.0263073441008
385,2020-03-07,278.0647043256631,265.9865805588037
