date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-27,188,188
<<<<<<< HEAD
2020-02-28,332.17752821679727,354.21596373408244
2020-02-29,628.0409400330558,691.611539275003
2020-03-01,961.9797967929792,1166.3768188337724
2020-03-02,1434.2824017944854,1919.7765371753976
2020-03-03,1930.7445526647102,3095.9757279710298
2020-03-04,2632.1817950710556,4967.25534541526
2020-03-05,3460.8495533443174,8326.357459922156
2020-03-06,4908.791916619363,15126.754912563889
2020-03-07,6236.718494469844,24777.292761232085
2020-03-08,7824.362349009878,40156.93971454011
2020-03-09,9854.748151739048,65411.97907303494
2020-03-10,12238.542819314063,104626.91424936867
2020-03-11,14886.397130152029,163074.58730556566
2020-03-12,18982.17127235722,265501.3747433505
2020-03-13,21822.664767146834,431642.66969611275
2020-03-14,24310.108762624965,666945.599524532
2020-03-15,26861.423253446774,995886.0894627661
2020-03-16,29810.461659284403,1442467.1699221048
2020-03-17,32652.073874153106,1981010.1124073558
2020-03-18,35162.07421501735,2573440.4196028095
2020-03-19,39336.4896407794,3288571.4524776326
2020-03-20,46572.96759868151,4130030.3289639847
2020-03-21,51428.873375087715,4805414.243262173
2020-03-22,56452.323964523464,5414554.809798911
=======
2020-02-28,332.17752821679613,354.2159637340808
2020-02-29,628.040940033052,691.6115392749977
2020-03-01,961.9797967929716,1166.3768188337585
2020-03-02,1434.28240179447,1919.7765371753658
2020-03-03,1930.7445526646873,3095.975727970963
2020-03-04,2632.1817950710224,4967.255345415132
2020-03-05,3460.8495533442756,8326.357459921901
2020-03-06,4908.791916619307,15126.754912563361
2020-03-07,6236.7184944697765,24777.292761231114
2020-03-08,7824.3623490098,40156.93971453837
2020-03-09,9854.748151738955,65411.97907303183
2020-03-10,12238.542819313954,104626.91424936327
2020-03-11,14886.397130151901,163074.58730555666
2020-03-12,18982.171272357067,265501.3747433351
2020-03-13,21822.66476714666,431642.669696087
2020-03-14,24310.108762624775,666945.599524492
2020-03-15,26861.42325344658,995886.0894627082
2020-03-16,29810.46165928419,1442467.1699220256
2020-03-17,32652.073874152873,1981010.1124072564
2020-03-18,35162.07421501709,2573440.4196026935
2020-03-19,39336.48964077912,3288571.4524775064
2020-03-20,46572.96759868119,4130030.328963856
2020-03-21,51428.87337508738,4805414.243262049
2020-03-22,56452.32396452311,5414554.809798798
>>>>>>> 3f7be048afb0e50d926b6a53b6ea7eb551308b51
